Vaccine,Dose,Geography Type,Geography,Survey Year,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size,State,HHS Region
Tetanus,Td or Tdap,States/Local Areas,Georgia,2021,>=18 Years,Overall,58.9,56.9 to 60.9,6044.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2014,>=65 Years,Overall,32.1,29.7 to 34.6,2043.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2017,>=65 Years,Overall,41.7,38.9 to 44.6,1832.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2021,>=60 Years,Overall,41.1,38.7 to 43.5,3343.0,Georgia,Region 4
Zoster (Shingles),,States/Local Areas,Georgia,2020,>=65 Years,Overall,43.8,41.1 to 46.5,3028.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2013,18-49 Years,Overall,59.4,56.9 to 61.8,2530.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2016,18-49 Years,Overall,61.6,58.7 to 64.5,1528.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2019,18-49 Years,Overall,67.7,64.6 to 70.7,2100.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2021,18-49 Years,Overall,58.3,55.0 to 61.5,1816.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2014,18-49 Years,Overall,55.1,52.1 to 58.2,1483.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2013,50-64 Years,Overall,50.7,47.9 to 53.5,2164.0,Georgia,Region 4
Tetanus,Td or Tdap,States/Local Areas,Georgia,2014,50-64 Years,Overall,54.1,50.9 to 57.3,1577.0,Georgia,Region 4
Pneumococcal,,States/Local Areas,Georgia,2012,18-64 Years at Increased Risk,Overall,29.0,25.9 to 32.1,1451.0,Georgia,Region 4
Tetanus,Tdap,States/Local Areas,Delaware,2022,>=65 Years,Overall,32.0,27.6 to 36.4,841.0,Delaware,Region 3
Tetanus,Tdap,States/Local Areas,Delaware,2022,18-64 Years,Overall,39.1,35.6 to 42.7,1322.0,Delaware,Region 3
Tetanus,Tdap,States/Local Areas,Delaware,2022,>=18 Years,Overall,37.3,34.4 to 40.2,2163.0,Delaware,Region 3
Tetanus,Td or Tdap,States/Local Areas,Delaware,2022,>=65 Years,Overall,62.7,59.0 to 66.4,1251.0,Delaware,Region 3
Tetanus,Td or Tdap,States/Local Areas,Delaware,2022,50-64 Years,Overall,65.3,60.9 to 69.6,840.0,Delaware,Region 3
Tetanus,Td or Tdap,States/Local Areas,Delaware,2022,18-49 Years,Overall,64.2,60.3 to 68.1,1057.0,Delaware,Region 3
Tetanus,Td or Tdap,States/Local Areas,Delaware,2022,>=18 Years,Overall,64.1,61.7 to 66.4,3148.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2022,>=65 Years,Overall,74.6,71.4 to 77.7,1329.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2022,18-64 Years at Increased Risk,Overall,30.1,25.9 to 34.4,709.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2017,>=65 Years,Overall,77.7,74.7 to 80.7,1240.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2015,18-64 Years at Increased Risk,Overall,35.8,31.4 to 40.3,859.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2021,18-64 Years at Increased Risk,Overall,26.8,22.5 to 31.1,733.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2016,>=65 Years,Overall,75.1,72.1 to 78.1,1298.0,Delaware,Region 3
Zoster (Shingles),,States/Local Areas,Delaware,2017,60-64 Years,Overall,22.8,17.5 to 28.1,403.0,Delaware,Region 3
Zoster (Shingles),,States/Local Areas,Delaware,2014,60-64 Years,Overall,24.0,19.6 to 28.5,480.0,Delaware,Region 3
Zoster (Shingles),,States/Local Areas,Delaware,2020,60-64 Years,Overall,20.4,15.3 to 25.4,369.0,Delaware,Region 3
Zoster (Shingles),,States/Local Areas,Delaware,2014,>=60 Years,Overall,30.4,27.9 to 32.9,1980.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2011,>=65 Years,Overall,69.2,65.7 to 72.7,1465.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2016,18-64 Years at Increased Risk,Overall,34.5,30.1 to 38.9,896.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2009,>=65 Years,Overall,66.5,63.4 to 69.7,1394.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2008,>=65 Years,Overall,71.9,68.5 to 75.3,1165.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2010,>=65 Years,Overall,70.0,67.1 to 72.9,1393.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2013,>=65 Years,Overall,72.4,69.7 to 75.2,1600.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2012,>=65 Years,Overall,70.7,67.7 to 73.6,1624.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2018,>=65 Years,Overall,73.0,70.3 to 75.7,1690.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2014,>=65 Years,Overall,72.9,69.9 to 75.9,1455.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2020,18-64 Years at Increased Risk,Overall,30.4,26.1 to 34.7,843.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2015,>=65 Years,Overall,76.7,73.5 to 79.8,1366.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2014,18-64 Years at Increased Risk,Overall,31.5,27.6 to 35.4,973.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2013,18-64 Years at Increased Risk,Overall,30.6,27.2 to 34.0,1195.0,Delaware,Region 3
Pneumococcal,,States/Local Areas,Delaware,2021,>=65 Years,Overall,72.8,69.4 to 76.3,1110.0,Delaware,Region 3
Zoster (Shingles),,States/Local Areas,North Carolina,2017,>=60 Years,Overall,39.2,36.2 to 42.2,1807.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2019,>=18 Years,Overall,48.5,46.0 to 50.9,2228.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2013,18-64 Years,Overall,39.7,37.5 to 41.8,3434.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2016,>=65 Years,Overall,17.0,14.4 to 19.6,1116.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2019,>=65 Years,Overall,39.1,34.4 to 43.9,615.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2019,18-64 Years,Overall,50.9,48.1 to 53.8,1613.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2013,>=65 Years,Overall,20.4,17.8 to 22.9,1744.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2016,18-64 Years,Overall,37.7,35.4 to 40.0,2618.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2016,>=18 Years,Overall,33.5,31.6 to 35.4,3734.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2013,>=18 Years,Overall,36.0,34.1 to 37.8,5178.0,North Carolina,Region 4
Pneumococcal,,States/Local Areas,North Carolina,2023,>=65 Years,Overall,74.1,70.3 to 77.9,1168.0,North Carolina,Region 4
Zoster (Shingles),,States/Local Areas,North Carolina,2023,>=65 Years,Overall,58.1,53.9 to 62.3,1179.0,North Carolina,Region 4
Zoster (Shingles),,States/Local Areas,North Carolina,2023,>=60 Years,Overall,52.7,48.9 to 56.5,1561.0,North Carolina,Region 4
Pneumococcal,,States/Local Areas,North Carolina,2023,18-64 Years at Increased Risk,Overall,30.5,26.2 to 34.8,905.0,North Carolina,Region 4
Zoster (Shingles),,States/Local Areas,North Carolina,2023,60-64 Years,Overall,37.8,30.5 to 45.0,382.0,North Carolina,Region 4
Zoster (Shingles),,States/Local Areas,North Dakota,2020,60-64 Years,Overall,44.6,39.4 to 49.9,526.0,North Dakota,Region 8
Zoster (Shingles),,States/Local Areas,North Dakota,2014,60-64 Years,Overall,32.5,28.4 to 36.6,920.0,North Dakota,Region 8
Zoster (Shingles),,States/Local Areas,North Dakota,2017,60-64 Years,Overall,39.7,35.7 to 43.6,818.0,North Dakota,Region 8
Zoster (Shingles),,States/Local Areas,North Dakota,2014,>=60 Years,Overall,42.6,40.3 to 44.8,3561.0,North Dakota,Region 8
Zoster (Shingles),,States/Local Areas,North Dakota,2020,>=65 Years,Overall,56.7,54.0 to 59.5,1817.0,North Dakota,Region 8
Pneumococcal,,States/Local Areas,North Dakota,2011,>=65 Years,Overall,70.1,67.3 to 72.9,1477.0,North Dakota,Region 8
Zoster (Shingles),,States/Local Areas,Mississippi,2023,60-64 Years,Overall,24.6,18.2 to 30.9,321.0,Mississippi,Region 4
Pneumococcal,,States/Local Areas,Mississippi,2023,18-64 Years at Increased Risk,Overall,28.0,24.2 to 31.9,1037.0,Mississippi,Region 4
Zoster (Shingles),,States/Local Areas,Mississippi,2023,>=60 Years,Overall,33.7,30.3 to 37.2,1428.0,Mississippi,Region 4
Zoster (Shingles),,States/Local Areas,Mississippi,2023,>=65 Years,Overall,37.0,33.1 to 40.9,1107.0,Mississippi,Region 4
Pneumococcal,,States/Local Areas,Mississippi,2023,>=65 Years,Overall,61.2,57.1 to 65.3,1090.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2014,>=18 Years,Overall,14.7,12.8 to 16.6,2684.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2015,>=18 Years,Overall,20.1,18.1 to 22.0,3803.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2017,>=18 Years,Overall,21.6,19.3 to 23.9,3020.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2018,>=18 Years,Overall,23.0,21.0 to 25.0,3236.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2013,>=18 Years,Overall,17.7,15.9 to 19.5,4598.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2016,>=18 Years,Overall,20.0,18.1 to 21.9,3312.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2016,>=65 Years,Overall,8.2,6.3 to 10.1,1171.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2018,18-64 Years,Overall,25.6,23.2 to 28.1,2200.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2017,18-64 Years,Overall,24.3,21.4 to 27.2,1802.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2015,18-64 Years,Overall,22.5,20.2 to 24.9,2242.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2014,18-64 Years,Overall,16.7,14.4 to 19.0,1662.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2013,>=65 Years,Overall,7.8,5.6 to 10.1,1736.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2019,18-64 Years,Overall,27.7,25.2 to 30.3,1894.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2016,18-64 Years,Overall,23.2,20.9 to 25.6,2141.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2013,18-64 Years,Overall,20.2,18.0 to 22.3,2862.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2015,>=65 Years,Overall,10.7,8.4 to 12.9,1561.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2014,>=65 Years,Overall,6.4,4.6 to 8.3,1022.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2019,>=65 Years,Overall,14.7,12.2 to 17.3,1102.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2017,>=65 Years,Overall,12.3,10.0 to 14.6,1218.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2018,>=65 Years,Overall,12.9,10.1 to 15.6,1036.0,Mississippi,Region 4
Zoster (Shingles),,States/Local Areas,Missouri,2020,>=60 Years,Overall,39.9,37.8 to 42.0,4036.0,Missouri,Region 7
Pneumococcal,,States/Local Areas,Missouri,2019,>=65 Years,Overall,75.8,73.6 to 78.0,2756.0,Missouri,Region 7
Tetanus,Td or Tdap,States/Local Areas,Missouri,2019,>=65 Years,Overall,66.7,64.1 to 69.2,2490.0,Missouri,Region 7
Zoster (Shingles),,States/Local Areas,Missouri,2018,>=65 Years,Overall,43.5,40.9 to 46.2,2457.0,Missouri,Region 7
Zoster (Shingles),,States/Local Areas,Missouri,2020,>=65 Years,Overall,45.5,43.1 to 47.9,3191.0,Missouri,Region 7
Zoster (Shingles),,States/Local Areas,Missouri,2017,>=65 Years,Overall,43.9,41.3 to 46.4,2712.0,Missouri,Region 7
Zoster (Shingles),,States/Local Areas,Missouri,2014,>=65 Years,Overall,34.1,31.5 to 36.6,2640.0,Missouri,Region 7
Pneumococcal,,States/Local Areas,Missouri,2012,18-64 Years at Increased Risk,Overall,29.5,26.7 to 32.3,1774.0,Missouri,Region 7
Zoster (Shingles),,States/Local Areas,Missouri,2016,>=65 Years,Overall,39.1,36.4 to 41.7,2643.0,Missouri,Region 7
Zoster (Shingles),,States/Local Areas,Missouri,2015,>=65 Years,Overall,37.9,35.4 to 40.4,2502.0,Missouri,Region 7
Pneumococcal,,States/Local Areas,Missouri,2020,>=65 Years,Overall,73.1,70.9 to 75.3,3153.0,Missouri,Region 7
Pneumococcal,,States/Local Areas,Missouri,2019,18-64 Years at Increased Risk,Overall,32.2,29.1 to 35.2,1573.0,Missouri,Region 7
Tetanus,Td or Tdap,States/Local Areas,Missouri,2019,>=18 Years,Overall,75.4,74.0 to 76.9,6113.0,Missouri,Region 7
Tetanus,Td or Tdap,States/Local Areas,Missouri,2016,>=65 Years,Overall,48.6,45.7 to 51.5,2447.0,Missouri,Region 7
Tetanus,Td or Tdap,States/Local Areas,Missouri,2015,>=65 Years,Overall,51.5,48.8 to 54.2,2236.0,Missouri,Region 7
Tetanus,Td or Tdap,States/Local Areas,Missouri,2018,>=65 Years,Overall,64.6,61.9 to 67.4,2163.0,Missouri,Region 7
